iter	MultiClass
0	1.210837117
1	0.9726126777
2	0.8396297824
3	0.7353553906
4	0.6611793953
5	0.6022234405
6	0.5593442224
7	0.5240914324
8	0.4949709698
9	0.472166279
10	0.4531210699
11	0.4378507019
12	0.4250946836
13	0.4135502072
14	0.4041150877
15	0.3950946985
16	0.3880161029
17	0.3812483809
18	0.3762737369
19	0.3724915567
20	0.3669619942
21	0.3628618216
22	0.3587905195
23	0.3538837036
24	0.3497092643
25	0.3472093729
26	0.3442489561
27	0.3413001298
28	0.3372782932
29	0.3341235385
30	0.3321764821
31	0.3302430174
32	0.32823044
33	0.3258049626
34	0.32400399
35	0.3208457647
36	0.3186157093
37	0.3160143353
38	0.3138039117
39	0.3122780917
40	0.3098924399
41	0.308730302
42	0.3067778196
43	0.3056681776
44	0.3040050606
45	0.3030489636
46	0.3020320893
47	0.3012421874
48	0.3004778328
49	0.2985166355
50	0.2971273135
51	0.2961317181
52	0.2956900802
53	0.29408849
54	0.2928420219
55	0.2913889227
56	0.2902549184
57	0.2894329884
58	0.2887064629
59	0.2882122328
60	0.2878287909
61	0.2869348594
62	0.2856681881
63	0.2844711521
64	0.2829034447
65	0.2813278099
66	0.280000116
67	0.2792739105
68	0.2787417234
69	0.2773196555
70	0.2767404184
71	0.2754317149
72	0.2748238078
73	0.2738414076
74	0.2729042628
75	0.2725141182
76	0.2721880928
77	0.2711001808
78	0.2703143863
79	0.2692872968
80	0.2688675929
81	0.2681221117
82	0.2675232365
83	0.2666952043
84	0.2658200657
85	0.2651161665
86	0.2641714092
87	0.2638112697
88	0.2631413259
89	0.2627909837
90	0.26251411
91	0.2621085369
92	0.2618046202
93	0.2610628039
94	0.2604135074
95	0.2601685275
96	0.2593090405
97	0.2582946071
98	0.2580249934
99	0.2577666935
