iter	Passed	Remaining
0	2637	261141
1	2965	145329
2	3307	106956
3	3553	85281
4	3873	73588
5	4135	64796
6	4526	60139
7	4872	56033
8	5149	52063
9	5422	48804
10	5730	46367
11	6094	44691
12	6326	42337
13	6638	40781
14	6886	39022
15	7191	37752
16	7423	36243
17	7697	35066
18	8011	34152
19	8302	33209
20	8668	32611
21	8953	31745
22	9340	31271
23	9683	30664
24	9981	29943
25	10213	29069
26	10493	28372
27	10812	27804
28	11078	27123
29	11403	26608
30	11644	25919
31	11959	25413
32	12190	24751
33	12489	24244
34	12907	23971
35	13201	23469
36	13616	23185
37	13866	22624
38	14149	22131
39	14422	21634
40	14692	21143
41	15018	20739
42	15266	20236
43	15571	19817
44	15809	19322
45	16216	19036
46	16528	18639
47	16821	18223
48	17127	17826
49	17420	17420
50	17709	17014
51	17960	16578
52	18352	16274
53	18576	15824
54	18938	15495
55	19199	15085
56	19509	14717
57	19838	14365
58	20114	13977
59	20406	13604
60	20619	13183
61	20934	12830
62	21148	12420
63	21487	12086
64	21723	11697
65	22022	11345
66	22278	10972
67	22549	10611
68	22832	10258
69	23084	9893
70	23540	9615
71	23851	9275
72	24164	8937
73	24409	8576
74	24720	8240
75	24958	7881
76	25309	7559
77	25580	7214
78	25916	6889
79	26164	6541
80	26491	6214
81	26784	5879
82	27086	5547
83	27399	5219
84	27641	4877
85	27981	4555
86	28208	4215
87	28577	3896
88	28845	3565
89	29184	3242
90	29577	2925
91	30028	2611
92	30556	2299
93	30888	1971
94	31275	1646
95	31606	1316
96	32054	991
97	32388	660
98	32758	330
99	33058	0
